bain_id,self_ids_id__ciq_,self_ids_id__cb_,self_ids_id__zi_,self_ids_id__bq_,self_firmo_name___,self_firmo_webpage___,self_sector_sector___,self_sector_industry___,self_sector_industryGroup___,self_sector_subIndustry___,self_firmo_description___,self_financials_revenue___,Revenue_Range
23211513,716113211,,,,Ario Utvikling AS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,6296.01680382527,Revenue: 1 - 250K
6519365,581501374,,,,Lake City Healthcare Foundation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,53754.32964,Revenue: 1 - 250K
6542655,640551595,,,,Ekblom Solutions AB,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,115825.837934587,Revenue: 1 - 250K
13720724,269944942,,,,Actuation And Control Technologies S.R.L. Siglabile Actua S.R.L.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,725,Revenue: 1 - 250K
13763399,222807563,,,1059792849920003416,"InterWest Financial Group, Inc",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,141942.901792288,Revenue: 1 - 250K
24816648,223374102,,,1977723062041255679,EB Gateway Inc,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,202701.513629079,Revenue: 1 - 250K
24826553,421051915,,,841254183,Endless Energy Systems,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,134489.679515839,Revenue: 1 - 250K
15911267,669541278,,,,Modula ApS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,84411.6520313045,Revenue: 1 - 250K
15998719,20458507,,,,Belin FrÈRes Sa,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,191308,Revenue: 1 - 250K
16006654,584343265,,,,The Stratton Foundation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,2983.53406849315,Revenue: 1 - 250K
16056955,581331037,,,,Plattsburgh Alumni Association Suny Inc,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,111204.03198,Revenue: 1 - 250K
16059974,672419927,,,,Immobiliare Sublime S.R.L.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,143954,Revenue: 1 - 250K
27098087,285095681,,,,Jci - Conseils & Investissements,UNKNOWN,Financial Services,Asset & Wealth Management,Asset & Wealth Management,Asset & Wealth Management - Other,,150228,Revenue: 1 - 250K
27108307,582621165,,,,"Herko Family Mission Fund, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,148353.386821918,Revenue: 1 - 250K
27109316,598620547,,,,Bakkely ApS Af 1999,UNKNOWN,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,237828.183290376,Revenue: 1 - 250K
27164474,703404212,,,,Vård Hjärta AB,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,53227.0798506083,Revenue: 1 - 250K
25409390,223290879,,,3441228773914640501,"Sala, Inc",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,202701.513629079,Revenue: 1 - 250K
25417680,376696991,,,,Siska Immobiliare S.R.L.,UNKNOWN,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,220531,Revenue: 1 - 250K
21678017,544369249,,,,Viaromadue S.R.L.,quantum-italia.it,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,42801,Revenue: 1 - 250K
30363781,288965696,,,,"Granadillo Foundation, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,3532.32351684932,Revenue: 1 - 250K
30370519,549113516,,,320482958,"JP Automotive, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,68044.4356606007,Revenue: 1 - 250K
25623123,580840474,,,421546309,"Creative Therapy Services, Llc",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,248263.002147019,Revenue: 1 - 250K
7134381,638121369,,,,"Gaon Industrial Development Co., Ltd.",UNKNOWN,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,84261.1411289573,Revenue: 1 - 250K
31117109,654457375,,,,Nybotrade Aktiebolag,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,3351.33465726052,Revenue: 1 - 250K
446567,419495626,,,475582931,James M. Anderson Jr. Corp.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,197045.380171895,Revenue: 1 - 250K
5678787,47425726,,,,Sider Arc S.R.L.,UNKNOWN,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,175930,Revenue: 1 - 250K
25895457,52064154,,,2684251775900139535,Hughes Electric Motor Co Inc,UNKNOWN,Consumer,Diversified Consumer Services,Consumer Services,Diversified Consumer Services - Unspecified,,203789.101491809,Revenue: 1 - 250K
10829676,207196566,,,1957588734566516866,Hamilton Communications Inc,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,80262.4619847536,Revenue: 1 - 250K
12110940,406831190,,,462763632,"Transit Web Solutions Group, LLC",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,177008.730371118,Revenue: 1 - 250K
12125148,581838947,,,,Kevin Andrews Family Limited Partnership,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,339.334739010989,Revenue: 1 - 250K
12134492,611911609,,,,Sellapordoi S.R.L.,UNKNOWN,Real Estate,UNKNOWN,Real Estate,UNKNOWN,,61010,Revenue: 1 - 250K
19991565,529896427,,,,Tibullo Spv Srl,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,52375,Revenue: 1 - 250K
19997899,599054342,,,,dojit limited,UNKNOWN,Media & Telecommunications,Entertainment,Media,Video Games & Interactive Entertainment,,4884.4195791204,Revenue: 1 - 250K
20088890,408472404,,,,Canopius Capital Ten Limited,canopius.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,3421.78607831251,Revenue: 1 - 250K
5835353,693077890,,,454048404,"Fruitive, LLC",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,172160.253530502,Revenue: 1 - 250K
29827467,1762735795,,,2301755875465348967,"Bushnell Investment Company, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,243242.492925882,Revenue: 1 - 250K
29861334,582730088,,,,"Underground Railroad History Project Of The Capital Region, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,75856.9776016438,Revenue: 1 - 250K
2832805,570468736,,,,Lp Management Aps,UNKNOWN,Business Services,Professional Services - Unspecified,Professional Services,Professional Services - Unspecified,,14073.919940253,Revenue: 1 - 250K
7881856,708958371,,,,Separk 7 AB,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,75071.8504660097,Revenue: 1 - 250K
7891755,421352470,,,204049832,"Krasnoff Entertainment, Inc.",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,128824.458931387,Revenue: 1 - 250K
7952638,430118197,,,205576621,Trailhead Marketing LLC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,115971.324374199,Revenue: 1 - 250K
8006614,664124821,,,,Cm Caravan Aps,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,5585.1684617867,Revenue: 1 - 250K
22554914,558356427,,,,Blackfriars Enterprises Limited,UNKNOWN,Business Services,Professional Services - Unspecified,Professional Services,Professional Services - Unspecified,,97305.9846884454,Revenue: 1 - 250K
22583096,671650925,,,,Analisi Aziendali S.R.L.,UNKNOWN,Business Services,Professional Services - Unspecified,Professional Services,Professional Services - Unspecified,,228394,Revenue: 1 - 250K
13200979,580901281,,,,El Cerrito Preschool & Daycare Co Op,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,227630.43522,Revenue: 1 - 250K
28961807,325721166,,,911337926,Eugene W Nester,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,57397.1317266226,Revenue: 1 - 250K
